source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
ELV_12.05_360call2028-01-21.txt,2025-12-06,04:18:46,ELV,ASK,420,put,2026-01-16,41d,$330.46,$86.00 - $93.30,$93.30,700,$6.53M,900,295,3.05,100%,"-60,930",57.59,-0.8704,-0.1601,0.0033,0.2366,-0.4383,93.30,Healthcare,Healthcare Plans,47,,420 put 2026-01-16
ELV_12.05_360call2028-01-21.txt,2025-12-05,22:39:12,ELV,ASK,410,call,2028-01-21,776d,$333.48,$42.00 - $52.00,$48.00,16,$77K,16,0,-,100%,741,37.50,0.4629,-0.0475,0.0022,1.9327,2.2646,48.00,Healthcare,Healthcare Plans,47,,410 call 2028-01-21
ELV_12.05_360call2028-01-21.txt,2025-12-05,22:38:41,ELV,ASK,400,call,2028-01-21,776d,$332.48,$44.00 - $54.00,$50.90,16,$81K,16,8,2.00,100%,770,37.87,0.481,-0.0479,0.0022,1.9331,2.3212,50.90,Healthcare,Healthcare Plans,47,,400 call 2028-01-21
ELV_12.05_360call2028-01-21.txt,2025-12-05,22:38:41,ELV,ASK,350,call,2028-01-21,776d,$332.48,$62.00 - $72.00,$67.60,16,$108K,16,10,1.60,100%,926,38.41,0.579,-0.0479,0.0021,1.8972,2.6587,67.60,Healthcare,Healthcare Plans,47,,350 call 2028-01-21
ELV_12.05_360call2028-01-21.txt,2025-12-05,22:38:18,ELV,ASK,360,call,2028-01-21,776d,$332.46,$64.00 - $64.20,$64.20,38,$244K,38,4,9.50,100%,"2,126",38.46,0.5594,-0.0483,0.0021,1.9137,2.5921,64.20,Healthcare,Healthcare Plans,47,Repeated Hits,360 call 2028-01-21
ELV_12.05_360call2028-01-21.txt,2025-12-05,22:38:18,ELV,BID,380,call,2028-01-21,776d,$332.46,$57.00 - $66.00,$57.30,37,$212K,37,3,12.33,100%,"1,923",38.21,0.5198,-0.0484,0.0021,1.9328,2.459,57.30,Healthcare,Healthcare Plans,47,Repeated Hits,380 call 2028-01-21
ELV_12.05_360call2028-01-21.txt,2025-12-04,23:16:05,ELV,BID,340,call,2026-02-20,76d,$333.53,$20.40 - $22.60,$20.50,209,$428K,209,64,3.27,100%,"10,288",37.94,0.4923,-0.1504,0.0068,0.615,0.307,20.50,Healthcare,Healthcare Plans,47,,340 call 2026-02-20
ELV_12.05_360call2028-01-21.txt,2025-12-04,03:04:21,ELV,ASK,390,put,2026-02-20,76d,$333.13,$60.10 - $62.30,$61.50,5,$31K,5,0,-,100%,-410,34.00,-0.8198,-0.0858,0.005,0.407,-0.7242,61.50,Healthcare,Healthcare Plans,47,,390 put 2026-02-20
ELV_12.05_360call2028-01-21.txt,2025-12-03,04:54:50,ELV,BID,360,put,2026-02-20,76d,$330.25,$39.70 - $43.00,$41.29,11,$45K,11,6,1.83,100%,-727,36.69,-0.6605,-0.1284,0.0065,0.5662,-0.5686,41.29,Healthcare,Healthcare Plans,47,,360 put 2026-02-20
ELV_12.05_360call2028-01-21.txt,2025-12-01,23:01:53,ELV,BID,280,put,2026-02-20,76d,$338.27,$2.40 - $8.60,$3.80,100,$38K,100,7,14.29,100%,"-1,207",37.11,-0.1207,-0.0731,0.0034,0.3201,-0.0991,3.80,Healthcare,Healthcare Plans,47,,280 put 2026-02-20
